"","summary.rabies_vac.zip_code."
"80219",979
"80239",419
"80204",301
"80216",267
"80223",254
"80205",249
"80211",225
"80249",196
"80220",166
"80207",152
"80210",122
"80221",90
"80206",75
"80212",69
"80222",69
"80236",63
"80209",62
"80224",58
"80231",50
"80218",43
"80227",40
"80203",38
"80123",34
"80202",33
"80246",32
"80237",31
"80238",24
"80226",21
"80247",18
"80214",16
"80230",15
"80110",12
"80014",10
"80235",10
"80232",6
"80012",2
"00000",0
"01778",0
"01921",0
"02116",0
"02135",0
"02906",0
"03272",0
"05452",0
"06071",0
"07666",0
"10025",0
"10527",0
"10555",0
"11211",0
"14047",0
"17020",0
"20005",0
"20016",0
"22202",0
"22304",0
"23013",0
"23669",0
"27584",0
"27612",0
"28031",0
"28412",0
"29461",0
"29464",0
"29615",0
"30041",0
"30705",0
"32303",0
"32724",0
"32792",0
"33156",0
"33609",0
"33704",0
"33777",0
"33993",0
"34327",0
"34471",0
"37110",0
"37410",0
"38059",0
"40038",0
"43234",0
"43526",0
"43606",0
"44040",0
"44805",0
"45069",0
"46220",0
"47201",0
"47906",0
"48098",0
"48187",0
"48612",0
"50325",0
"50501",0
"51053",0
"51351",0
"53037",0
"53209",0
"(Other)",0
